FileName;LenData;AngleStandartDeviation;AngleMean;AngleMode;PeriodStandartDeviation;PeriodMean;PeriodMode;LenElements
part_1(1);61000;0,95;79,31;79,75;4,27;60,45;61;1003
part_1(2);61000;0,75;78,52;78,78;3,7;62,66;63;974
